episode,average_score,best_score,average_q_value
89,,-inf,7.0123847e-06
90,,-inf,1.9304029e-05
91,,-inf,-0.00041854416
92,,-inf,4.326787e-05
93,,-inf,-8.778005e-06
94,,-inf,-2.1683312e-05
95,,-inf,5.021067e-05
96,,-inf,8.456656e-05
97,,-inf,3.3692937e-05
98,,-inf,7.392638e-05
99,,-inf,9.587382e-05
100,,-inf,8.451861e-06
101,,-inf,9.885322e-05
102,,-inf,7.00681e-05
103,,-inf,-1.825774e-05
104,,-inf,-3.3977267e-05
105,,-inf,6.723788e-05
106,,-inf,-2.0947795e-05
107,,-inf,-5.3838437e-05
108,,-inf,0.00011253649
109,,-inf,0.00014257837
110,,-inf,4.661547e-05
111,,-inf,-1.43785455e-05
112,,-inf,-4.711408e-06
113,,-inf,3.6483536e-05
114,,-inf,6.1825056e-05
115,,-inf,1.4889581e-05
116,,-inf,0.00011257067
117,,-inf,3.363788e-05
118,,-inf,1.3839925e-06
119,,-inf,1.28401625e-05
120,,-inf,3.1629315e-05
121,,-inf,0.00017513835
122,,-inf,1.600614e-05
123,,-inf,6.0731545e-06
124,,-inf,7.942287e-05
125,,-inf,-2.2314041e-05
126,,-inf,0.00092683564
127,,-inf,0.00016383104
128,,-inf,1.328728e-05
129,,-inf,2.5282017e-05
130,,-inf,-0.00022345247
131,,-inf,4.0918447e-05
132,,-inf,4.953063e-05
133,,-inf,0.00013617249
134,,-inf,6.624445e-05
135,,-inf,1.1805057e-05
136,,-inf,0.00020771805
137,,-inf,-0.00021973785
138,,-inf,0.0005857718
139,,-inf,2.2777213e-05
140,,-inf,1.3792008e-05
141,,-inf,0.00015176697
142,,-inf,0.00029017858
143,,-inf,-0.00019358324
144,,-inf,8.0718826e-05
145,,-inf,0.00012711446
146,,-inf,-1.3175357e-05
147,,-inf,2.7567723e-05
148,,-inf,2.2447208e-05
149,,-inf,3.562885e-05
150,,-inf,3.864697e-05
151,,-inf,3.4590714e-05
152,,-inf,0.00014562489
153,,-inf,2.3740615e-05
154,,-inf,0.00061125675
155,,-inf,-1.3913269e-05
156,,-inf,6.9344664e-05
157,,-inf,5.1411447e-05
158,,-inf,-6.274479e-05
159,,-inf,-6.34498e-07
160,,-inf,3.628004e-05
161,,-inf,4.1606436e-05
162,,-inf,-8.707898e-05
163,,-inf,-1.1179473e-05
164,,-inf,0.0004458074
165,,-inf,0.0002187779
166,,-inf,0.00012935732
167,,-inf,5.197339e-05
168,,-inf,0.00018233716
169,,-inf,0.00010962539
170,,-inf,0.0005051376
171,,-inf,0.00054609444
172,,-inf,0.00044675672
173,,-inf,0.0007193812
174,,-inf,0.000575305
175,,-inf,0.00045475224
176,,-inf,0.0007237
177,,-inf,0.0004491138
178,,-inf,0.00031686822
179,,-inf,0.0005813037
180,,-inf,0.0004463562
181,,-inf,0.0007528201
182,,-inf,0.00061641744
183,,-inf,0.0008130995
184,,-inf,0.00065017457
185,,-inf,0.00072065287
186,,-inf,0.00091012707
187,,-inf,0.0010825493
188,,-inf,0.001070102
189,,-inf,0.004650852
190,,-inf,0.0047059683
191,,-inf,0.004958455
192,,-inf,0.0052593932
193,,-inf,0.0043399055
194,,-inf,0.005480435
195,,-inf,0.0055694166
196,,-inf,0.0054525165
197,,-inf,0.005709469
198,,-inf,0.005580995
199,,-inf,0.005455406
200,,-inf,0.0055027744
201,,-inf,0.0055183116
202,,-inf,0.0053693503
203,,-inf,0.005743088
204,,-inf,0.003439375
205,,-inf,0.004616004
206,,-inf,0.004735925
207,,-inf,0.0057740784
208,,-inf,0.0040945834
209,,-inf,0.0057781087
210,,-inf,0.005846074
211,,-inf,0.005195869
212,,-inf,0.0049550803
213,,-inf,0.0059276703
214,,-inf,0.0058510816
215,,-inf,0.0061953436
216,,-inf,0.006373137
217,,-inf,0.006303809
218,,-inf,0.0061981897
219,,-inf,0.0059445137
220,,-inf,0.009122496
221,,-inf,0.009656648
222,,-inf,0.0097325845
223,,-inf,0.01046504
224,,-inf,0.010584762
225,,-inf,0.010531137
226,,-inf,0.009982368
227,,-inf,0.009794041
228,,-inf,0.009866913
229,,-inf,0.009895661
230,,-inf,0.007553679
231,,-inf,0.009966146
232,,-inf,0.009605325
233,,-inf,0.008744871
234,,-inf,0.008179921
235,,-inf,0.010133297
236,,-inf,0.0108255455
237,,-inf,0.010938477
238,,-inf,0.0107849995
239,,-inf,0.010952212
240,,-inf,0.010805303
241,,-inf,0.010645386
242,,-inf,0.010862301
243,,-inf,0.010727162
244,,-inf,0.008422301
245,,-inf,0.01056931
246,,-inf,0.010946224
247,,-inf,0.011182011
248,,-inf,0.011317672
249,,-inf,0.011384107
250,,-inf,0.011158294
251,,-inf,0.011914242
252,,-inf,0.014601299
253,,-inf,0.014774125
254,,-inf,0.014993712
255,,-inf,0.015337035
256,,-inf,0.015365601
257,,-inf,0.015862424
258,,-inf,0.01586559
259,,-inf,0.016055139
260,,-inf,0.015997145
261,,-inf,0.016078983
262,,-inf,0.0156240845
263,,-inf,0.016282836
264,,-inf,0.015974628
265,,-inf,0.01590052
266,,-inf,0.01340684
267,,-inf,0.012747244
268,,-inf,0.0136755435
269,,-inf,0.015209658
270,,-inf,0.014772758
271,,-inf,0.014710953
272,,-inf,0.015568537
273,,-inf,0.015804432
274,,-inf,0.015723994
275,,-inf,0.015706051
276,,-inf,0.015524718
277,,-inf,0.015849495
278,,-inf,0.015765926
279,,-inf,0.015590092
280,,-inf,0.015413712
281,,-inf,0.015398731
282,,-inf,0.015443167
283,,-inf,0.017390948
284,,-inf,0.01948025
285,,-inf,0.01760085
286,,-inf,0.017838474
287,,-inf,0.017902797
288,,-inf,0.017935758
289,,-inf,0.017971883
290,,-inf,0.017747248
291,,-inf,0.017699808
292,,-inf,0.016622469
293,,-inf,0.016145647
294,,-inf,0.016244916
295,,-inf,0.017126838
296,,-inf,0.016934391
297,,-inf,0.020148229
298,,-inf,0.02079109
299,,-inf,0.021309216
300,,-inf,0.021551056
301,,-inf,0.021899324
302,,-inf,0.022290014
303,,-inf,0.022046436
304,,-inf,0.021910284
305,,-inf,0.022005057
306,,-inf,0.021896461
307,,-inf,0.021025775
308,,-inf,0.021774216
309,,-inf,0.02184098
310,,-inf,0.018972073
311,,-inf,0.018544948
312,,-inf,0.018368
313,,-inf,0.018028572
314,,-inf,0.023163803
315,,-inf,0.024059078
316,,-inf,0.024538781
317,,-inf,0.02459658
318,,-inf,0.025248304
319,,-inf,0.025025062
320,,-inf,0.025525251
321,,-inf,0.025805168
322,,-inf,0.025655698
323,,-inf,0.025961548
324,,-inf,0.02600508
325,,-inf,0.02233635
326,,-inf,0.02193839
327,,-inf,0.021969162
328,,-inf,0.021511333
329,,-inf,0.021277571
330,,-inf,0.020950451
331,,-inf,0.024757173
332,,-inf,0.025321212
333,,-inf,0.02537244
334,,-inf,0.025484957
335,,-inf,0.025269428
336,,-inf,0.025433272
337,,-inf,0.025532335
338,,-inf,0.025552275
339,,-inf,0.025310481
340,,-inf,0.025098234
341,,-inf,0.025073854
342,,-inf,0.024917077
343,,-inf,0.025124414
344,,-inf,0.025108952
345,,-inf,0.026326938
346,,-inf,0.026403844
347,,-inf,0.027170366
348,,-inf,0.028826669
349,,-inf,0.02906959
350,,-inf,0.028668376
351,,-inf,0.026911246
352,,-inf,0.026743889
353,,-inf,0.026559595
354,,-inf,0.026385555
355,,-inf,0.02675615
356,,-inf,0.028722677
357,,-inf,0.026814545
358,,-inf,0.026922686
359,,-inf,0.025607806
360,,-inf,0.02634673
361,,-inf,0.026649263
362,,-inf,0.026900934
363,,-inf,0.027019478
364,,-inf,0.029056374
365,,-inf,0.029273562
366,,-inf,0.0291579
367,,-inf,0.029373653
368,,-inf,0.029705573
369,,-inf,0.029631155
370,,-inf,0.02983557
371,,-inf,0.029750649
372,,-inf,0.030149035
373,,-inf,0.03025235
374,,-inf,0.028814223
375,,-inf,0.03025821
376,,-inf,0.031414963
377,,-inf,0.03469711
378,,-inf,0.031821337
379,,-inf,0.031445842
380,,-inf,0.03239768
381,,-inf,0.032042183
382,,-inf,0.03163679
383,,-inf,0.032889728
384,,-inf,0.03265317
385,,-inf,0.03234815
386,,-inf,0.03254416
387,,-inf,0.033042926
388,,-inf,0.035308238
389,,-inf,0.035992406
390,,-inf,0.036397148
391,,-inf,0.036763348
392,,-inf,0.036706854
393,,-inf,0.036906227
394,,-inf,0.03694556
395,,-inf,0.037160125
396,,-inf,0.037157316
397,,-inf,0.037583165
398,,-inf,0.03749278
399,,-inf,0.03749019
400,,-inf,0.037695233
401,,-inf,0.037611924
402,,-inf,0.037362855
403,,-inf,0.037614036
404,,-inf,0.03821636
405,,-inf,0.037943784
406,,-inf,0.03782726
407,,-inf,0.037891604
408,,-inf,0.042465184
409,,-inf,0.042996056
410,,-inf,0.04349141
411,,-inf,0.044568118
412,,-inf,0.045015913
413,,-inf,0.045328
414,,-inf,0.04528917
415,,-inf,0.045346133
416,,-inf,0.045377523
417,,-inf,0.045283757
418,,-inf,0.04500401
419,,-inf,0.045235008
420,,-inf,0.045286257
421,,-inf,0.04522233
422,,-inf,0.044986375
423,,-inf,0.04510661
424,,-inf,0.0452395
425,,-inf,0.04529767
426,,-inf,0.045076586
427,,-inf,0.04521488
428,,-inf,0.04501262
429,,-inf,0.04499397
430,,-inf,0.045395676
431,,-inf,0.045982078
432,,-inf,0.046085887
433,,-inf,0.045907278
434,,-inf,0.045577545
435,,-inf,0.04524583
436,,-inf,0.045484353
437,,-inf,0.043442316
438,,-inf,0.042975157
439,,-inf,0.046403218
440,,-inf,0.045418035
441,,-inf,0.045619432
442,,-inf,0.045790285
443,,-inf,0.04550294
444,,-inf,0.04537309
445,,-inf,0.04602462
446,,-inf,0.046275955
447,,-inf,0.046496637
448,,-inf,0.046118435
449,,-inf,0.04628125
450,,-inf,0.046420027
451,,-inf,0.045986883
452,,-inf,0.045592323
453,,-inf,0.045916148
454,,-inf,0.045580614
455,,-inf,0.045455046
456,,-inf,0.04417508
457,,-inf,0.04539978
458,,-inf,0.04509765
459,,-inf,0.04525112
460,,-inf,0.045148686
461,,-inf,0.045766514
462,,-inf,0.04616868
463,,-inf,0.04621946
464,,-inf,0.046086807
465,,-inf,0.046382893
466,,-inf,0.046096966
467,,-inf,0.04611849
468,,-inf,0.046062943
469,,-inf,0.046029963
470,,-inf,0.049292672
471,,-inf,0.050148338
472,,-inf,0.051494986
473,,-inf,0.052080654
474,,-inf,0.052838754
475,,-inf,0.053137768
476,,-inf,0.0531553
477,,-inf,0.053420447
478,,-inf,0.05340317
479,,-inf,0.053365923
480,,-inf,0.05332255
481,,-inf,0.053205773
482,,-inf,0.05332422
483,,-inf,0.053029273
484,,-inf,0.05300815
485,,-inf,0.053083982
486,,-inf,0.05342342
487,,-inf,0.05243894
488,,-inf,0.053727273
489,,-inf,0.054200806
490,,-inf,0.05479744
491,,-inf,0.054579534
492,,-inf,0.0546798
493,,-inf,0.054316107
494,,-inf,0.054043945
495,,-inf,0.05393737
496,,-inf,0.054145228
497,,-inf,0.053963482
498,,-inf,0.053812355
499,,-inf,0.053771894
500,,-inf,0.05370363
501,,-inf,0.054956775
502,,-inf,0.0601118
503,,-inf,0.061791208
504,,-inf,0.06259966
505,,-inf,0.063469864
506,,-inf,0.064213924
507,,-inf,0.064608686
508,,-inf,0.06508981
509,,-inf,0.06518736
510,,-inf,0.06532613
511,,-inf,0.065380245
512,,-inf,0.06554641
513,,-inf,0.0658024
514,,-inf,0.065762624
515,,-inf,0.06556439
516,,-inf,0.06536947
517,,-inf,0.06556745
518,,-inf,0.0654372
519,,-inf,0.065990485
520,,-inf,0.06597031
521,,-inf,0.06592004
522,,-inf,0.06562362
523,,-inf,0.06589251
524,,-inf,0.06685753
525,,-inf,0.066890344
526,,-inf,0.06696444
527,,-inf,0.0664495
528,,-inf,0.06640585
529,,-inf,0.06648929
530,,-inf,0.06679064
531,,-inf,0.06633678
532,,-inf,0.06672363
533,,-inf,0.07181658
534,,-inf,0.073365375
535,,-inf,0.07396703
536,,-inf,0.074514456
537,,-inf,0.07525404
538,,-inf,0.07615291
539,,-inf,0.07646322
540,,-inf,0.07692106
541,,-inf,0.07683798
