episode,average_score,best_score,average_q_value
156,,-inf,0.0060298773
157,,-inf,0.0002988108
158,,-inf,0.004946189
159,,-inf,0.0026926517
160,,-inf,0.004496047
161,,-inf,0.00013228128
162,,-inf,0.0031113492
163,,-inf,0.0054304674
164,,-inf,0.0013646252
165,,-inf,0.00047183115
166,,-inf,0.0056313137
167,,-inf,0.00463737
168,,-inf,0.004774593
169,,-inf,-0.0005088699
170,,-inf,0.0019469889
171,,-inf,0.0021133798
172,,-inf,0.001493828
173,,-inf,0.0024478545
174,,-inf,0.002314328
175,,-inf,0.0016003415
176,,-inf,-0.0014684503
177,,-inf,0.0021161467
178,,-inf,0.00095773
179,,-inf,0.0029040966
180,,-inf,-0.0031275793
181,,-inf,0.00075228245
182,,-inf,0.00064096955
183,,-inf,-0.0009189924
184,,-inf,0.0016516413
185,,-inf,-0.0007163324
186,,-inf,0.00036920115
187,,-inf,-0.00024054892
188,,-inf,0.001323968
189,,-inf,0.0013397969
190,,-inf,0.008976242
191,,-inf,0.0011658559
192,,-inf,-0.0036251917
193,,-inf,-0.0034802512
194,,-inf,-0.001752729
195,,-inf,-0.00018132581
196,,-inf,-0.0008625766
197,,-inf,0.0010986779
198,,-inf,0.0023450772
199,,-inf,-0.00052948826
200,,-inf,0.0023795364
201,,-inf,0.0026063565
202,,-inf,0.0072639403
203,,-inf,0.00041694927
204,,-inf,-0.003576563
205,,-inf,-0.0008881941
206,,-inf,0.0020649855
207,,-inf,0.0005396086
208,,-inf,-0.005372586
209,,-inf,0.0063110352
210,,-inf,-0.0043194448
211,,-inf,-0.0035727364
212,,-inf,-0.0012076746
213,,-inf,0.001553191
214,,-inf,0.0069371248
215,,-inf,0.002861574
216,,-inf,-0.0034593884
217,,-inf,0.0035393785
218,,-inf,-0.001277042
219,,-inf,-0.0061912234
220,,-inf,0.01977745
221,,-inf,0.0015589661
222,,-inf,0.0030352015
223,,-inf,0.0035449748
224,,-inf,-0.016142847
225,,-inf,0.007834511
226,,-inf,0.03384448
227,,-inf,0.0025023753
228,,-inf,0.007728845
229,,-inf,-0.008196954
230,,-inf,-0.005785743
231,,-inf,0.0015770595
232,,-inf,-0.0036172296
233,,-inf,-0.0097249355
234,,-inf,0.019684877
235,,-inf,-0.008032614
236,,-inf,-0.006572348
237,,-inf,-0.0020546587
238,,-inf,-0.0003352922
239,,-inf,-0.002369592
240,,-inf,-0.004875963
241,,-inf,-0.0007792009
242,,-inf,0.0035871095
243,,-inf,0.0026527354
244,,-inf,-0.0043149833
245,,-inf,-0.005696245
246,,-inf,0.0052753207
247,,-inf,0.0034910834
248,,-inf,0.02177331
249,,-inf,-0.00907074
250,,-inf,0.0015878773
251,,-inf,0.030773308
252,,-inf,0.019677948
253,,-inf,0.0017844423
254,,-inf,0.011687123
255,,-inf,0.0077900295
256,,-inf,0.0055442937
257,,-inf,0.04311523
258,,-inf,0.0061759246
259,,-inf,-0.006769546
260,,-inf,0.0075847926
261,,-inf,0.0019513471
262,,-inf,0.023275463
263,,-inf,0.003559574
264,,-inf,0.011033632
265,,-inf,0.0013715671
266,,-inf,0.0036572863
267,,-inf,0.0067029097
268,,-inf,-0.0071328427
269,,-inf,-0.01283509
270,,-inf,0.011301725
271,,-inf,0.00420003
272,,-inf,0.0013850128
273,,-inf,0.009100817
274,,-inf,0.0017133779
275,,-inf,0.0060285097
276,,-inf,0.004439311
277,,-inf,-0.002738139
278,,-inf,-0.0026571036
279,,-inf,0.0062201605
280,,-inf,0.0029443474
281,,-inf,0.01222003
282,,-inf,0.024916233
283,,-inf,0.072837815
284,,-inf,0.04232899
285,,-inf,0.0018292905
286,,-inf,0.068358816
287,,-inf,0.020315599
288,,-inf,0.019632
289,,-inf,0.03688953
290,,-inf,0.0047888886
291,,-inf,0.08020871
292,,-inf,0.09099798
293,,-inf,0.05734344
294,,-inf,0.09131219
295,,-inf,0.0053110695
296,,-inf,0.050567657
297,,-inf,0.07540694
298,,-inf,-0.008216349
299,,-inf,0.05782603
300,,-inf,0.0323521
301,,-inf,0.03057381
302,,-inf,0.03161724
303,,-inf,0.034541123
304,,-inf,-0.008286159
305,,-inf,0.0594182
306,,-inf,0.01843875
307,,-inf,0.010798873
308,,-inf,0.02794461
309,,-inf,0.03670211
310,,-inf,0.07134443
311,,-inf,0.060264565
312,,-inf,0.022402085
313,,-inf,0.016007999
314,,-inf,0.06850682
315,,-inf,0.08461038
316,,-inf,0.100388
317,,-inf,0.06560696
318,,-inf,0.06837152
319,,-inf,0.118589446
320,,-inf,0.02840894
321,,-inf,0.14225312
322,,-inf,0.061993834
323,,-inf,0.055173863
324,,-inf,0.088391505
325,,-inf,0.0861023
326,,-inf,0.08898479
327,,-inf,0.062016003
328,,-inf,0.11525441
329,,-inf,0.103532575
330,,-inf,0.09837894
331,,-inf,0.07938848
332,,-inf,0.08886936
333,,-inf,0.06963428
334,,-inf,0.070295915
335,,-inf,0.08906947
336,,-inf,0.060046498
337,,-inf,0.058583055
338,,-inf,0.090504356
339,,-inf,0.062240046
340,,-inf,0.058564167
341,,-inf,0.071219735
342,,-inf,0.041824643
343,,-inf,0.085214116
344,,-inf,0.08353432
345,,-inf,0.12117876
346,,-inf,0.080773756
347,,-inf,0.10779678
348,,-inf,0.14976065
349,,-inf,0.09465487
350,,-inf,0.093596175
351,,-inf,0.090037964
352,,-inf,0.116011985
353,,-inf,0.12575795
354,,-inf,0.112981215
355,,-inf,0.18889679
356,,-inf,0.10702807
357,,-inf,0.13848232
358,,-inf,0.12960747
359,,-inf,0.10749939
360,,-inf,0.094776936
361,,-inf,0.09119912
362,,-inf,0.12874444
363,,-inf,0.116646916
364,,-inf,0.15212803
365,,-inf,0.1093374
366,,-inf,0.1308596
367,,-inf,0.1193198
368,,-inf,0.11437072
369,,-inf,0.12006961
370,,-inf,0.13668121
371,,-inf,0.116974175
372,,-inf,0.11821651
373,,-inf,0.090480395
374,,-inf,0.10536424
375,,-inf,0.098177545
376,,-inf,0.23159371
377,,-inf,0.15221353
378,,-inf,0.15384252
379,,-inf,0.17109258
380,,-inf,0.16555546
381,,-inf,0.13777746
382,,-inf,0.1367399
383,,-inf,0.14477634
384,,-inf,0.13492405
385,,-inf,0.1572638
386,,-inf,0.11129266
387,,-inf,0.1506624
388,,-inf,0.11991869
389,,-inf,0.112967275
390,,-inf,0.11250055
391,,-inf,0.11963243
392,,-inf,0.1498437
393,,-inf,0.120556526
394,,-inf,0.14126113
395,,-inf,0.18233636
396,,-inf,0.15137078
397,,-inf,0.14987779
398,,-inf,0.12281144
399,,-inf,0.12218942
400,,-inf,0.119431034
401,,-inf,0.15852326
402,,-inf,0.10860151
403,,-inf,0.16786127
404,,-inf,0.15130363
405,,-inf,0.13403912
406,,-inf,0.15410244
407,,-inf,0.13073173
408,,-inf,0.14222851
409,,-inf,0.12179902
410,,-inf,0.11079724
411,,-inf,0.110107794
412,,-inf,0.105487876
413,,-inf,0.11050695
414,,-inf,0.11238381
415,,-inf,0.11841188
416,,-inf,0.11585315
417,,-inf,0.12521933
418,,-inf,0.10121167
419,,-inf,0.1388105
420,,-inf,0.118558265
421,,-inf,0.098287895
422,,-inf,0.11921996
423,,-inf,0.10075009
424,,-inf,0.1004076
425,,-inf,0.1072357
426,,-inf,0.102195695
427,,-inf,0.08945514
428,,-inf,0.12672728
429,,-inf,0.1138576
430,,-inf,0.09184877
431,,-inf,0.11066651
432,,-inf,0.0993347
433,,-inf,0.1147675
434,,-inf,0.106109396
435,,-inf,0.087743305
436,,-inf,0.10457098
437,,-inf,0.12088281
438,,-inf,0.11279407
439,,-inf,0.15267919
440,,-inf,0.10958216
441,,-inf,0.14251764
442,,-inf,0.11102977
443,,-inf,0.14095613
444,,-inf,0.14693119
445,,-inf,0.12863414
446,,-inf,0.14241852
447,,-inf,0.123131454
448,,-inf,0.12870668
449,,-inf,0.11808187
450,,-inf,0.12993689
451,,-inf,0.117924064
452,,-inf,0.12925178
453,,-inf,0.14362176
454,,-inf,0.1251888
455,,-inf,0.13289982
456,,-inf,0.13878144
457,,-inf,0.13851552
458,,-inf,0.14279546
459,,-inf,0.1166842
460,,-inf,0.107446566
461,,-inf,0.13283874
462,,-inf,0.1346924
463,,-inf,0.108785056
464,,-inf,0.10687443
465,,-inf,0.13574941
466,,-inf,0.112663224
467,,-inf,0.13639817
468,,-inf,0.14125985
469,,-inf,0.116398774
470,,-inf,0.19406529
471,,-inf,0.13815235
472,,-inf,0.17294343
473,,-inf,0.12789415
474,,-inf,0.1510289
475,,-inf,0.12615044
476,,-inf,0.15064803
477,,-inf,0.124118194
478,,-inf,0.1856578
479,,-inf,0.15641698
480,,-inf,0.1579216
481,,-inf,0.16029884
482,,-inf,0.14978012
483,,-inf,0.14296472
484,,-inf,0.13136657
485,,-inf,0.1537494
486,,-inf,0.16468808
487,,-inf,0.1573074
488,,-inf,0.16214874
489,,-inf,0.14087555
490,,-inf,0.12683609
491,,-inf,0.16228727
492,,-inf,0.1651532
493,,-inf,0.14613143
494,,-inf,0.12808463
495,,-inf,0.15698798
496,,-inf,0.13832672
